m	base2_RES64	seconds
30006	315F9BD33DBD0E2D	14.796998
30026	0AECD30EAA5A297C	14.536366
30071	141F3A56AC304C22	9.660090
30078	1CA71207E40D3E56	8.967807
30113	FFAF5094A2AF64F3	7.425606
30126	3E45474E76596D66	11.105701
30170	7E322AC19D3BDC28	4.601346
30173	24648DDF21BBEC42	10.815170
30203	4D09295330AAE877	14.012345
30222	A09455B3A6C66CE9	14.571504
30263	CFD54D04982E6D79	3.377583
30330	9B00BDE57081D455	7.888500
30347	7539AA9F289F20BE	4.066916
30365	4DBA3D36CE2DAE76	3.794975
30378	C396ADC77A928912	5.716965
30407	D3830B01D7297352	5.040608
30410	F404F817E51EC0CA	11.472292
30437	47ED5952E9BB9496	8.135816
30438	9BAD89AEFE948773	6.081425
30506	A28AFD3F6DC674E6	7.890592
30533	E24C5C927E9BEDB2	7.214060
30557	136ACB815791A202	8.731800
30635	3BF6AD4F088897A1	11.833009
30641	C34736A5C983468D	6.952130
30650	A47600087AF13191	7.267762
30677	F111FE6BC429CACF	7.303178
30686	08E66D7451C7CD25	10.487188
30762	5A6BD4A40D189501	2.355346
30767	B17DF7D32FF2802D	10.672153
30798	04055C72F043E897	4.538877
30803	CCE56533DA6BA45A	6.218234
30815	3B035E595B4AD70E	6.118942
30882	707B3B483663219B	3.962041
30971	66BF83F2586D64BE	9.764737
31026	E6ADD80B3FF3C826	7.332990
31046	62A1683AD60E7370	5.952171
31055	F973E73FD097A9E5	5.670647
31061	1311819667053CA7	12.479809
31103	DC54BC18C4581613	10.105591
31163	0159858590B483FD	11.179206
31230	524D9335DFF58DC3	7.112273
31262	8EA580675A575CC9	6.943884
31265	7207E7CB741A249F	10.105418
31266	6B67DFC9A62F24EC	7.527793
31295	D0BDEB92041276C3	6.132463
31313	091F7A1A700F83E5	12.643937
31355	EE64A65D93A36CC6	7.190974
31373	594F3F0344FF55F8	7.961333
31386	FC63F931E088A04A	12.259707
31415	B81A145C20492DB2	7.431822
31445	FC7DED124798D60F	6.358763
31517	2E4974AA91F8A353	7.474153
31518	F8A219EAC7665F55	17.295859
31530	7DE5DA7926C6A48D	9.408227
31602	A71F8B1EEB4F6AEA	13.737142
31607	3F17A10BFAE50C6A	5.292409
31643	B9CFAC6C1F007920	11.697496
31670	810935E3F91AD0C4	6.228304
31698	C014FC8CABFBD1AF	8.336602
31745	4F06F2CB9B77489B	8.580277
31806	43DFC2D4EB0293D5	4.957574
31818	7409F29B2840ACDB	5.603117
31841	6155179002742CE5	5.407148
31850	B4F7DE95EE3C6B46	6.479934
31862	CE479CBE0F27DEDF	6.818466
31886	DE7B33154D82CB98	10.011098
31890	CF06C9320BB9E38B	8.803312
31895	154F86C4D2E842FF	8.127636
31910	AA89F0333FD90AF0	9.175675
31937	BDAC01CC41D0FB58	5.302898
31950	9AA40B072DA427D2	6.413431
31997	2C1A01E5C7D3712D	8.190955
32006	118C69E76FF5EBFE	7.783746
32022	3024650EFF8ADE5D	14.983406
32027	7A20BE8883EB8EAD	10.676561
32051	47756720D0F04460	8.479343
32063	A92CD49BD84E031F	13.169572
32070	E61BFD0254169D41	12.393547
32090	393B3F5369B00FE3	11.227526
32093	316243684AA7BB4D	7.838212
32102	A78D67BA740A0F6F	13.974080
32142	C78CC31AD0831621	10.094540
32171	BF95B939F0F07DFC	12.221233
32250	A6A10AB07598003C	8.059454
32261	183E43389F5E7B9D	11.461130
32282	5965FD4313FBA999	10.248066
32285	396E0CECDCB83977	11.464752
32310	7DDAEEC93A6E6F74	9.743127
32321	28A84E513124E2E7	8.134508
32346	5B4CC0026F246969	14.003942
32390	3944A3D7BCA395CB	9.082873
32405	A4984E7806785BE5	9.380463
32417	37020AD6325DEDED	8.372627
32426	F5EBA38CDB2EA515	17.185393
32447	0D44ED92725D8CD0	12.866962
32462	AEB31973BF5612B2	15.582858
32483	CF20B35897AF9C6F	32.262837
32490	234CEA79664452C0	17.203650
32513	E1B4307F110CC7B9	14.245764
32567	A9A72FE3056D227F	8.750418
32573	D91B371DECF87E48	17.200103
32591	BDB7D6BA9AE0EAFE	34.953668
32651	28D9AE5CC2757ACB	13.764299
32666	AC78896FCB6F89D0	29.887318
32670	D88C936CFDF0E0D0	23.592355
32693	6A8572249F89F1BC	23.322854
32717	B2CEB965C92B967F	8.895561
32723	A2F7CE8C3560C525	23.219818
32741	7363B053C9CD934D	17.289269
32783	FA5782DC97A275F6	17.141549
32837	FE3EB6C95A35E086	35.292785
32861	71B20BD509739CC1	18.601435
32885	CCD02001497D1106	18.786140
32891	2D3425B7899AE863	21.856886
32906	143266F4A984AD4A	15.117889
32922	FEAC5BCBB3C6E7AF	7.853819
32927	473E47124863395D	5.316666
32945	D379E8C8478423E1	19.658910
32987	86CEC09D26C41F85	6.278183
32993	E47DE603D93D488B	10.376035
33042	678D56EF2EDC32B9	4.776929
33062	65DABD4A0790D3AC	4.473680
33078	285ABBC8CA958393	5.422068
33086	E6F6F63D24DBCB15	19.844783
33101	2333EAFF20F02711	5.890729
33210	69D9F12886B48767	11.824538
33230	64DA2F7CE38C28CA	10.690802
33245	F48CF08F6C012938	11.856563
33246	0F1EBAE1A356D7EE	6.580414
33258	3B7719EC1A8BCACF	10.063709
33263	060A0CC98A7B2307	7.831896
33282	00CBCCFC132EC978	4.186841
33290	6A67B32162CB7E8F	7.391775
33318	A5FB1C3AB4A156AC	8.939615
33341	62039ABBBB2EB6DE	4.114547
33350	696E742F06788D2D	8.088956
33366	C83895797C0600BD	17.348519
33386	A2A30E5850100A1D	7.608090
33470	8E8858C98F30BF4E	6.452326
33473	88E77ED72BADC7EC	8.997216
33482	9052481F6204189B	8.571878
33498	72B2C56708C6AC82	5.312120
33503	C8A24F4465817F9A	4.232134
33521	2FDD41D46CB1D106	13.435360
33557	A0B5EE30ED38CDD5	8.732514
33563	BB81D8F66306C46B	8.019946
33617	B6F5552B3475B922	9.304063
33623	4376627823F1BE61	6.952414
33626	A730DC85C2BEB646	14.375595
33677	B04903570D655D89	8.218366
33678	233331E204E19442	20.571543
33686	940238C054F4FE9C	10.251173
33710	98912EFD9BCA8E97	25.800119
33713	B4FE7A5C8AA5A0A5	8.355606
33761	FD22EB564B845C02	16.541187
33782	C520289B755A627F	8.165927
33786	E27B5D3D7A773D91	6.536819
33797	306FF08DAEA7F882	14.984152
33815	2CD9147B72CA921D	8.851256
33827	1916019D9A05FC61	21.758262
33830	7C6577345FF245CB	15.631987
33851	E10C3D1256200A77	25.607742
34002	2531F63AD88AF510	22.333341
34007	4083E2AA9534A6A4	25.575772
34038	51217AC8F833B95F	10.628680
34085	F754092A72B2C1F5	12.030298
34097	B5D7858EFAADDD08	32.511866
34103	5083011E0542D529	6.459056
34142	E0F363BD2D2CDD9F	16.877535
34182	938CF5DB7D998E2E	11.934763
34187	21BD3243E1940725	6.805919
34202	CA76FEF098EA7D1F	9.844700
34211	09F7C4BA2166E367	13.435288
34218	89662993CC9068FA	30.426550
34277	6C4ABFEB01E2CA4E	17.534822
34301	1B5C8F105CBA3DA4	16.177770
34310	26B508D96E23694A	5.343221
34326	6A95C16F96E7B822	28.629894
34338	80AE8D539C32EFA4	26.885443
34385	F6D652FFC7C853B7	17.336228
34403	B32183708BA59356	23.865357
34430	7490F0845BF2D531	45.176951
34446	B68B5B53F11DD2B9	14.974383
34487	F92F2F253550B11B	15.794795
34511	169303B4C7F2C37D	14.979839
34518	4DCB8E044E9CE372	37.366558
34541	30BFEAA5F4D55F95	20.319254
34547	17E78B92AB0A7F4E	19.304651
34583	56D0EF7FD9135F4E	23.157848
34607	63F4AF45F4578590	26.530942
34613	6CDCB1626EA5CD66	10.384455
34626	320914FF57A25C55	20.757162
34646	1155D9DBCED6A5F0	19.747868
34662	DA8AEC548D379590	22.310727
34667	9AE264B9BBCBFCB4	12.996375
34730	C8E8EDC0E22A511A	14.363921
34751	515F90CEC0B969CD	21.198210
34758	9041540855F78F9B	20.522621
34766	9119287E6C6C698A	11.401728
34790	89894928357FE643	15.450953
34805	E6E273B199EADC3E	10.574103
34817	DCE1EAFE583F6ED5	9.687400
34877	DBD3DDE40ED01876	5.947841
34910	1CCBA3F31964EABE	11.020429
34967	4D6C29AFC85257F8	9.304855
34970	5BCD7B359F7B28FB	11.620718
34973	2504704E6D8CC2A6	9.251763
35021	76AE61A984BC10F6	6.613586
35045	393D72C0F8D13075	7.539861
35057	B19139957EC6CF24	7.219204
35066	36300C22C6D869C0	9.258301
35082	B3B10E1F5966FD35	8.812229
35087	9CE170F61EF876EA	4.820962
35093	CC0BD4ED0E127D49	5.637785
35102	31C04F099F963914	4.045014
35130	BDC73FFD756296FD	5.623190
35135	64F952F7B6D5D0CD	7.316367
35195	0164D6014FD3733F	7.640060
35201	C1E4CFE32454AC62	5.839004
35210	4011377E7C4F1FED	5.535773
35213	CDEE53DB2A2A63B1	4.311864
35237	ACFBA28C1A24046F	4.263940
35243	BF054D3E90DC248F	5.907806
35297	29398DCD85652CC8	3.577959
35298	4BF2FB8B383058E8	6.216617
35327	BD9B6DBD3537283F	5.267785
35370	866FF89F2180B592	6.402754
35382	B0021B2BB1D45132	5.978929
35387	90C46259A80E37A7	4.747191
35418	5F223F221A61820A	7.173339
35447	137D41BAA91216CF	6.036296
35471	79A24E38861174EA	2.830346
35477	561FA8C38671E19E	6.447335
35495	12B65BBBA5C389F7	4.996881
35546	E13797A60FA5C46F	6.116059
35573	9EBF09A3C7770DB7	5.009364
35586	C470962E16AD47F7	4.288756
35591	D8F56E864DD76594	4.412213
35615	7270B331546945C5	4.251058
35621	DDE824CF9E6467FE	3.841163
35702	7F35FC9424FDAEB1	4.581682
35717	289D71DA0C78B331	4.785218
35723	61F9E7E6B06E3A8C	4.895767
35726	266D00E86621DD15	6.402238
35747	F4E362DF9A5EBA6E	5.089410
35750	B8EE929EB50C1165	5.768084
35766	533FCFB3A1A2EBA3	2.943905
35777	8480854D7E81F867	5.284009
35838	421C2DFDD2A34BC1	5.161469
35846	A4A3417CE81DE991	4.661813
35850	CEC721C1E1BFD223	2.835461
35870	824B98DC4CC3BA33	3.015603
35915	B94C2701DC6DBFDA	5.564028
35933	95C87842BA45A977	4.024992
35946	4BEC3F401AA058F8	4.514918
35990	EB882BD1D53382E6	4.006597
36011	7156DCE6855F17B4	5.558682
36017	2D602EA3AF7213DB	4.669838
36062	4644D6BF62E4B1B4	4.184487
36065	11D4DE12ECEC7485	6.120899
36077	C41302850FE355EA	3.875172
36095	46063C3820D96FA9	4.150226
36102	35AE4C866CCCF25E	4.780439
36110	806AEC729597FE9E	4.356842
36143	1775DBADE0F6C4BA	3.257279
36161	446FBF3EB2ABCEF6	6.276439
36203	44DFF466970404F9	3.361884
36282	B3690C79F0D05DD6	4.205078
36287	7EDD7E805025F4B2	4.782783
36293	7EAE72105DC3F10C	4.487683
36305	4B2FFE67BB7111B5	4.214838
36306	A3E7AF3BECF23D97	5.038775
36311	3F6FF1BD95DF8B0E	3.821510
36326	A3B629700D72B752	4.526852
36353	2024A443BD229469	3.718084
36395	0570D562948D3D8C	4.375358
36401	E06C49D40119E2AF	3.506004
36455	98D709455AEFDC40	4.894378
36461	0BF5C78557B2726F	3.620807
36470	471B8059C15046F5	4.855447
36486	7C046BD93554E73F	3.577916
36506	420546DFBDA22BE6	4.038868
36533	B36ACBBAA90C753D	4.352087
36542	D5E598069F9A9991	5.026207
36545	82A2C659A307CF61	5.390436
36557	BAF921400D18E397	4.220312
36605	4569B76E20B52003	4.783004
36653	FCD1BB05C77FCD09	3.316475
36755	712944C7B9AEFEEF	5.514047
36767	3F26CBA10CB2B233	4.761248
36782	A2BCCA433410DF0A	2.856812
36822	EBA3F7E2476AA741	3.431919
36842	C22B5E76F4316311	3.441335
36846	A3D1061F18373605	4.801057
36935	2F6AD6B887C477D7	4.987133
36965	EDB0BB7F9124B32B	3.763559
36990	CD45230FA568A260	4.570406
37007	B4CE9161363E0417	4.337432
37038	BF7EA5754A78CA32	4.383660
37046	5B8EF95C01AAC02D	3.683877
37062	A962AC9951A2CA9D	3.935609
37067	3AA9AE9D852FBA58	4.125666
37073	8A239EB6606A73F2	4.391635
37098	ABA24A9EA7905D1C	5.036361
37130	4A6C5EAB63072F4D	3.927439
37146	94B78DFC00B3DE16	5.547071
37190	72869DBF064C473C	4.608853
37218	F18772C96F19C9E0	3.816734
37235	49E44720CD95578D	4.567052
37310	B3ADE71F493A0956	4.340155
37326	18ED8191686089E6	3.656510
37350	FA82181E6519D810	4.047924
37367	82BDECB191C7BD32	3.660577
37370	54C116153DFB66BD	4.234713
37382	484F9956E9FD31A0	3.326630
37397	3771F66F6BD52E5E	4.129492
37427	6FAEAA489F8EFE37	3.876169
37470	1029BA0E1802FDB3	3.929845
37487	2B74333D56F478D1	3.948199
37526	60B96A1A986BD1D9	3.851036
37530	DE3846EC064F6E6C	6.095722
37541	15646750E028E255	4.609480
37565	C0F68A70C307159F	4.296645
37571	2EE6C6F9EDCE8811	3.526334
37637	011D65DDD22F5B65	5.214214
37638	5D90A2F3F454D185	3.921875
37661	2535F59FFA44BCDF	5.624896
37670	C57ABA1308FC9182	5.167730
37686	DBA861B7A99B3286	5.442782
37691	657743511DB8CB83	4.409642
37742	B146E5ACBD7C7E1C	3.349837
37746	E16D29F4CC8130B4	3.652131
37757	44F705954759A02D	3.780784
37763	110581C63CDE6BBD	3.809543
37782	AE3929E7BAAD6272	3.457802
37790	976BA46D3B6AF460	3.221291
37850	BC2618B7B9D5FBBA	4.555500
37862	432ED9F395949560	4.804535
37946	9D0803899E68EBF4	3.059573
37973	B3880757C9B8C413	3.373503
37991	9C405B94017135D1	4.255712
37997	4A1F87DD09C032B4	3.967229
38046	62E1CB1E7C2B1EC2	3.912941
38102	947F1443C0604869	3.795809
38117	1C3EC83AAC6AC85B	4.350721
38118	B0DC63AC6AF7DB2B	3.626361
38126	75FE657EDBA8CF39	3.602687
38141	E5E00C397C1281D7	4.288991
38186	B1002FED42F906E2	3.756971
38190	0428625DA8274579	4.328738
38237	1EE5C6E390D1EDBD	3.917275
38303	1D003E51558656C2	6.318384
38330	1D416D4AD133723F	4.511761
38333	573EDF8E322E3053	5.071192
38351	BC6A3D572379F998	5.414575
38405	B544280335402E42	5.308558
38406	75BE8AB6F4E65EDE	5.346240
38447	1A816F486C1AC2B7	4.709341
38453	5BB9EA1321017F58	5.196605
38510	E41CB75A0C3C6DA6	5.087189
38513	062CF6217080C3AD	5.016773
38543	7585E7603CC6AB1F	4.692871
38561	E64F519BA0764B19	4.855091
38586	BE73BE2A8E0F4CFF	5.390640
38603	65E84DACAA21AF46	6.179416
38622	CEF9EB1370573C8E	4.646723
38646	C0D40020DC74A1B6	6.072236
38687	9DB13A374BABA286	7.667778
38730	176ED94786539C4C	4.892604
38771	E493F7A74A923C35	6.592887
38807	228827E0E643ABF7	4.894717
38846	B2FEF067A6EBDA7C	6.668864
38897	8D276164F7164CA3	5.113636
38957	1D209F421AABCC6B	6.713802
38966	B548B812F46A9B9B	5.060316
38982	7B54BC590A365DF7	4.607101
39006	743C48D21E745022	4.283446
39035	057265922842565A	4.096457
39041	AF5FC23DF0E75F8F	3.719474
39062	AA6FDF633F6743B0	3.701809
39090	42B3C2978BBFCF07	3.384592
SUMMARY tested=381 anomalies=0
