0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,28
0,1,2,3,4,5,6,7,27,28
0,1,2,3,4,5,6,7,8,29
0,1,2,3,4,5,6,7,28,29
0,1,2,3,4,5,6,7,8,30
0,1,2,3,4,5,6,7,29,30
0,1,2,3,4,5,6,7,8,31
0,1,2,3,4,5,6,7,30,31
0,1,2,3,4,5,6,7,8,32
0,1,2,3,4,5,6,7,31,32
0,1,2,3,7,16,17,18,27,31
0,1,2,3,6,7,16,17,27,31
0,1,2,3,4,5,7,18,29,31
0,1,2,3,5,6,7,16,27,31
0,1,2,3,4,5,6,8,18,30
0,1,2,3,4,8,16,28,29,30
0,1,2,3,7,8,15,28,29,35
0,1,2,3,8,15,16,18,28,30
0,1,2,3,4,5,6,7,8,33
0,1,2,3,5,8,15,18,28,30
0,1,2,3,7,8,15,28,29,30
0,1,2,3,5,7,8,15,28,30
0,1,2,3,4,8,16,29,30,31
0,1,2,3,4,5,6,8,18,31
0,1,2,3,4,5,6,7,32,33
0,1,2,3,4,5,7,18,30,32
0,1,2,3,4,6,7,17,29,32
0,1,2,3,5,6,7,16,28,32
0,1,2,3,6,7,16,17,28,32
0,1,2,3,7,16,17,18,28,32
0,1,2,3,4,5,6,7,8,34
0,1,2,3,5,7,8,15,31,36
0,1,2,3,5,8,15,18,29,31
0,1,2,3,4,8,16,24,30,31
0,1,2,3,5,6,7,8,29,36
0,1,2,3,7,8,15,29,30,31
0,1,2,3,5,7,8,15,29,31
0,1,2,3,4,8,16,30,31,32
0,1,2,3,4,5,6,8,18,32
0,1,2,3,7,8,15,23,29,30
0,1,2,3,4,6,8,16,18,30
0,1,2,4,6,7,8,14,28,30
0,1,2,3,7,8,15,29,35,36
0,1,2,4,6,7,8,14,34,36
0,1,2,3,7,8,15,29,30,36
0,1,2,3,8,15,16,18,29,31
0,1,2,3,5,6,7,16,32,36
0,1,2,4,6,11,15,17,27,31
0,1,2,4,11,15,17,18,27,31
0,1,2,4,5,6,11,15,27,31
0,1,2,4,5,11,15,18,27,31
0,1,2,5,6,7,11,16,27,32
0,1,2,5,11,15,16,18,27,31
0,1,2,4,5,6,11,15,31,36
0,1,2,5,6,7,11,16,31,36
0,1,2,4,6,7,11,17,27,31
0,1,2,4,7,11,17,18,27,31
0,1,2,3,7,16,17,18,23,27
0,1,2,4,5,6,11,15,26,31
0,1,2,3,4,5,6,7,27,36
0,1,2,4,5,7,11,18,27,31
0,1,2,5,7,11,16,18,27,31
0,1,2,3,4,5,6,7,36,37
0,1,2,3,6,7,16,17,27,37
0,1,2,5,6,7,11,16,22,27
0,1,2,3,6,7,16,17,23,27
0,1,2,3,6,7,16,17,27,33
0,1,3,4,6,7,10,17,27,37
0,1,3,6,7,10,16,17,27,37
0,1,4,5,10,11,14,15,21,31
0,1,2,4,5,11,15,18,31,35
0,1,3,4,6,7,10,17,30,37
0,1,3,4,7,10,14,17,27,30
0,1,3,5,7,10,14,16,27,36
0,1,2,4,6,7,11,17,33,37
0,1,3,6,7,10,16,17,23,33
0,1,3,4,6,7,10,17,33,37
0,1,2,3,4,5,6,7,33,34
0,1,2,3,4,6,7,17,30,33
0,1,2,3,6,7,16,17,29,33
0,1,2,3,7,16,17,18,29,33
0,1,2,5,6,7,11,16,28,33
0,1,2,4,5,6,11,15,32,37
0,1,2,5,11,15,16,18,28,32
0,1,2,3,5,6,7,16,33,37
0,1,2,3,4,5,7,18,31,33
0,1,2,3,4,7,18,24,30,31
0,1,2,3,5,7,16,18,29,31
0,1,2,3,4,7,24,30,31,37
0,1,2,3,4,7,17,30,31,37
0,1,3,4,6,7,27,30,34,37
0,1,2,4,6,7,8,14,35,37
0,1,3,4,7,17,24,31,34,37
0,1,2,3,4,7,8,24,31,37
0,1,2,3,6,7,8,23,30,37
0,1,2,3,7,8,15,30,31,37
0,1,2,3,8,15,16,18,30,32
0,1,2,3,6,7,8,23,36,37
0,1,2,3,7,8,15,30,36,37
0,1,2,3,5,6,7,16,29,33
0,1,2,4,6,11,15,17,28,32
0,1,2,4,5,11,15,18,28,32
0,1,2,4,11,15,17,18,28,32
0,1,3,4,6,7,10,17,27,34
0,1,3,4,7,10,14,17,31,34
0,1,3,5,7,10,14,16,27,31
0,1,2,4,7,11,17,18,24,28
0,1,2,4,11,15,17,18,24,28
0,1,3,4,6,7,10,17,30,34
0,1,2,4,5,7,11,18,31,35
0,1,2,3,7,8,15,35,36,37
0,1,2,3,7,8,15,23,24,30
0,1,2,7,8,14,15,24,30,37
0,1,3,5,7,8,13,15,35,37
0,1,2,3,5,7,8,15,35,37
0,1,3,4,7,17,24,27,30,37
0,1,2,3,5,6,8,18,30,35
0,1,2,3,5,8,15,18,30,35
0,1,2,3,6,7,8,23,28,29
0,1,2,5,7,15,17,22,30,37
0,1,2,7,8,14,15,23,30,37
0,1,3,5,6,8,13,18,28,33
0,1,3,5,7,8,13,15,28,30
0,1,2,3,4,5,6,7,8,35
0,1,2,3,4,6,8,16,18,31
0,1,2,3,5,8,15,18,30,32
0,1,2,3,5,7,8,15,32,37
0,1,3,5,6,8,13,18,30,35
0,1,2,3,5,7,8,15,30,32
0,1,2,3,8,15,16,18,23,25
0,1,2,3,5,8,15,18,25,30
0,1,2,3,4,8,16,31,32,33
0,1,2,4,5,6,8,29,33,37
0,1,2,3,4,5,7,8,29,37
0,1,2,4,5,6,18,26,30,34
0,1,2,5,6,18,22,30,34,35
0,1,2,4,8,16,24,25,29,37
0,1,2,3,5,6,7,28,32,37
0,1,2,3,4,6,7,28,31,37
0,1,2,3,4,6,17,30,31,37
0,1,2,5,11,15,16,18,22,26
0,1,3,6,7,10,16,17,27,31
0,1,3,4,6,7,10,17,27,31
0,1,2,4,5,7,11,18,28,32
0,1,2,4,7,11,17,18,28,32
0,1,2,5,7,11,16,18,28,32
0,1,2,4,5,6,11,15,32,36
0,1,2,4,6,7,8,14,29,31
0,1,2,5,6,7,11,16,32,37
0,1,2,4,5,6,11,15,27,32
0,1,2,4,6,7,11,17,28,32
0,1,2,3,7,16,17,18,24,28
0,1,2,3,4,5,6,7,28,37
0,1,2,3,4,5,6,7,37,38
0,1,2,3,4,6,7,24,30,33
0,1,2,3,4,6,17,24,32,33
0,1,2,3,5,6,7,23,29,33
0,1,2,3,5,6,7,29,33,38
0,1,2,3,4,7,18,25,31,32
0,1,2,3,4,5,7,18,25,32
0,1,2,3,5,7,16,18,30,34
0,1,2,3,4,5,6,7,34,35
0,1,2,3,4,5,6,7,34,36
0,1,2,3,5,7,16,18,30,32
0,1,2,3,6,7,30,31,37,38
0,1,2,4,5,7,18,25,32,36
0,1,2,3,4,7,25,31,32,38
0,1,2,3,4,6,7,17,31,38
0,1,2,4,5,7,11,18,32,36
0,1,2,3,4,7,17,18,25,32
0,1,2,4,5,11,15,18,29,32
0,1,2,4,7,11,17,18,25,32
0,1,3,4,6,7,10,17,31,35
0,1,3,4,6,7,10,17,31,38
0,1,2,4,11,15,17,18,25,29
0,1,3,4,7,10,14,17,28,31
0,1,3,6,7,10,16,17,24,34
0,1,2,3,6,7,16,17,30,34
0,1,2,3,5,6,7,16,30,34
0,1,2,3,4,5,7,18,32,35
0,1,3,4,6,7,10,17,34,38
0,1,2,3,4,5,7,18,35,38
0,1,2,3,5,6,7,16,23,34
0,1,2,3,7,16,17,18,30,34
0,1,2,4,5,11,15,18,32,38
0,1,2,4,6,7,11,17,34,38
0,1,3,5,7,10,14,16,28,37
0,1,2,4,5,11,15,18,32,36
0,1,2,3,4,6,7,17,24,37
0,1,2,3,4,6,7,17,24,31
